expected_final_url,origin_url
https://archive.mozilla.org/pub/firefox/candidates/60.2.1esr-candidates/build1/snap/firefox-60.2.1esr.snap.checksums,https://queue.taskcluster.net/v1/task/NBMGfgwzTI2QJhYiwDZnww/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.2.2esr-candidates/build1/snap/firefox-60.2.2esr.snap,https://queue.taskcluster.net/v1/task/Xn-z01PyRlW1GmtMQxhT8A/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.2.2esr-candidates/build1/snap/firefox-60.2.2esr.snap.checksums,https://queue.taskcluster.net/v1/task/Xn-z01PyRlW1GmtMQxhT8A/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.3.0esr-candidates/build2/snap/firefox-60.3.0esr.snap,https://queue.taskcluster.net/v1/task/aYlzabIjTs6A6OxsinInRg/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.3.0esr-candidates/build2/snap/firefox-60.3.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/aYlzabIjTs6A6OxsinInRg/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.4.0esr-candidates/build2/snap/firefox-60.4.0esr.snap,https://queue.taskcluster.net/v1/task/NEfBFYy2SaCzl8fvjWHl3Q/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.4.0esr-candidates/build2/snap/firefox-60.4.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/NEfBFYy2SaCzl8fvjWHl3Q/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.5.0esr-candidates/build2/snap/firefox-60.5.0esr.snap,https://queue.taskcluster.net/v1/task/Ist-Q6_cQaKPVRSEkjWGyg/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.5.0esr-candidates/build2/snap/firefox-60.5.0esr.snap.checksums,https://queue.taskcluster.net/v1/task/Ist-Q6_cQaKPVRSEkjWGyg/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.5.1esr-candidates/build1/snap/firefox-60.5.1esr.snap,https://queue.taskcluster.net/v1/task/FTNTeFzwRXGifMTQrEmKWg/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.5.1esr-candidates/build1/snap/firefox-60.5.1esr.snap.checksums,https://queue.taskcluster.net/v1/task/FTNTeFzwRXGifMTQrEmKWg/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/61.0-candidates/build1/snap/firefox-61.0.snap,https://queue.taskcluster.net/v1/task/RNdWt7HSQwaTyikpfg-2lw/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/61.0-candidates/build1/snap/firefox-61.0.snap.checksums,https://queue.taskcluster.net/v1/task/RNdWt7HSQwaTyikpfg-2lw/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/61.0-candidates/build2/snap/firefox-61.0.snap,https://queue.taskcluster.net/v1/task/T0oT9-cRQYG-vmaYlhEDig/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/61.0-candidates/build2/snap/firefox-61.0.snap.checksums,https://queue.taskcluster.net/v1/task/T0oT9-cRQYG-vmaYlhEDig/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/61.0-candidates/build3/snap/firefox-61.0.snap,https://queue.taskcluster.net/v1/task/CCgxiK98RGC74Q7H28C4zw/artifacts/public/build/target.snap
